codigo_cid,descricao,fonte
A00,Cólera,DATASUS/CID-10 V2008
A00.0,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",DATASUS/CID-10 V2008
A00.1,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",DATASUS/CID-10 V2008
A00.9,Cólera não especificada,DATASUS/CID-10 V2008
A01,Febres tifóide e paratifóide,DATASUS/CID-10 V2008
A01.0,Febre tifóide,DATASUS/CID-10 V2008
A01.1,Febre paratifóide A,DATASUS/CID-10 V2008
A01.2,Febre paratifóide B,DATASUS/CID-10 V2008
A01.3,Febre paratifóide C,DATASUS/CID-10 V2008
A01.4,Febre paratifóide não especificada,DATASUS/CID-10 V2008
A02,Outras infecções por Salmonella,DATASUS/CID-10 V2008
A02.0,Enterite por salmonela,DATASUS/CID-10 V2008
A02.1,Septicemia por salmonela,DATASUS/CID-10 V2008
A02.2,Infecções localizadas por salmonela,DATASUS/CID-10 V2008
A02.8,Outras infecções especificadas por salmonela,DATASUS/CID-10 V2008
A02.9,Infecção não especificada por salmonela,DATASUS/CID-10 V2008
A03,Shiguelose,DATASUS/CID-10 V2008
A03.0,Shiguelose devida a Shigella dysenteriae,DATASUS/CID-10 V2008
A03.1,Shiguelose devida a Shigella flexneri,DATASUS/CID-10 V2008
A03.2,Shiguelose devida a Shigella boydii,DATASUS/CID-10 V2008
A03.3,Shiguelose devida a Shigella sonnei,DATASUS/CID-10 V2008
A03.8,Outras shigueloses,DATASUS/CID-10 V2008
A03.9,Shiguelose não especificada,DATASUS/CID-10 V2008
A04,Outras infecções intestinais bacterianas,DATASUS/CID-10 V2008
A04.0,Infecção por Escherichia coli enteropatogênica,DATASUS/CID-10 V2008
A04.1,Infecção por Escherichia coli enterotoxigênica,DATASUS/CID-10 V2008
A04.2,Infecção por Escherichia coli enteroinvasiva,DATASUS/CID-10 V2008
A04.3,Infecção por Escherichia coli enterohemorrágica,DATASUS/CID-10 V2008
A04.4,Outras infecções intestinais por Escherichia coli,DATASUS/CID-10 V2008
A04.5,Enterite por Campylobacter,DATASUS/CID-10 V2008
A04.6,Enterite devida a Yersinia enterocolítica,DATASUS/CID-10 V2008
A04.7,Enterocolite devida a Clostridium difficile,DATASUS/CID-10 V2008
A04.8,Outras infecções bacterianas intestinais especificadas,DATASUS/CID-10 V2008
A04.9,Infecção intestinal bacteriana não especificada,DATASUS/CID-10 V2008
A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",DATASUS/CID-10 V2008
