principio_ativo,produto,apresentacao,forma_farmaceutica,concentracao_texto,via_administracao,classe_terapeutica,controle,fonte
acetato de dexametasona + clotrimazol,BAYCUTEN N,"10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G",creme dermatológico,"10 mg/g + 0,443 mg/g",tópica,D7B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS,nao_classificado,ANVISA/CMED 2026-06
abatacepte,ORENCIA,250 MG PO LIOF SOL INJ CT 1 FA + SER DESCARTÁVEL,pó liofilizado para solução injetável,250 mg,parenteral,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abatacepte,ORENCIA,125 MG/ML SOL INJ SC CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO,solução injetável,125 mg/ml,subcutânea,M1C - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS,nao_classificado,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,50 MG COM REV CT BL AL AL X 30,comprimido revestido,50 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,100 MG COM REV CT BL AL AL X 30,comprimido revestido,100 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,150 MG COM REV CT BL AL AL X 30,comprimido revestido,150 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,150 MG COM REV CT BL AL AL X 60,comprimido revestido,150 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,200 MG COM REV CT BL AL AL X 30,comprimido revestido,200 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abemaciclibe,VERZENIOS,200 MG COM REV CT BL AL AL X 60,comprimido revestido,200 mg,oral,L1H - INIBIDORES DE PROTEINA QUINASE,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,50 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,50 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,100 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,100 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
abrocitinibe,CIBINQO,200 MG COM REV CT FR PLAS PEAD OPC X 30,comprimido revestido,200 mg,oral,D5X - OUTROS PRODUTOS ANTI-INFLAMATÓRIOS NÃO ESTEROIDAIS DERMATOLÓGICOS,venda_sob_prescricao,ANVISA/CMED 2026-06
acarbose,AGLUCOSE,50 MG COM CT BL AL AL X 30,comprimido,50 mg,oral,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,nao_classificado,ANVISA/CMED 2026-06
acarbose,AGLUCOSE,100 MG COM CT BL AL AL X 30,comprimido,100 mg,oral,A10L - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,FILINAR G,5 MG/ML GEL OR CT FR PLAS TRANS X 120ML + COL,gel oral,5 mg/ml,oral,R5C - EXPECTORANTES,nao_classificado,ANVISA/CMED 2026-06
acebrofilina,FILINAR,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,FILINAR,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR VD AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao_retida,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,10 MG/ML XPE CT FR PLAS PET AMB X 120 ML + COP,xarope,10 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
acebrofilina,ACEBROFILINA,5MG/ML XPE CT FR PLAS PET AMB X 120ML + COP,xarope,5 mg/ml,oral,R5C - EXPECTORANTES,venda_sob_prescricao,ANVISA/CMED 2026-06
