codigo_cid,condicao_nome,principio_ativo,fonte,status_curadoria,validado_por,versao,exaustivo
I10,Hipertensão arterial,hidroclorotiazida,"RENAME 2024 (p. 45, 138) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,furosemida,"RENAME 2024 (p. 44, 137) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,espironolactona,"RENAME 2024 (p. 44, 135) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,captopril,"RENAME 2024 (p. 42, 128) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,enalapril,"RENAME 2024 (p. 45, 140) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,losartana,"RENAME 2024 (p. 45, 140) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,valsartana,"RENAME 2024 (p. 46, 212) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,anlodipino,"RENAME 2024 (p. 41, 127) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,nifedipino,"RENAME 2024 (p. 45, 141) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,verapamil,"RENAME 2024 (p. 43, 133) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,atenolol,"RENAME 2024 (p. 41, 126) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,propranolol,"RENAME 2024 (p. 43, 133) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,metoprolol,"RENAME 2024 (p. 46, 144) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,carvedilol,"RENAME 2024 (p. 42, 128) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,metildopa,"RENAME 2024 (p. 45, 141) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,hidralazina,"RENAME 2024 (p. 43, 131) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
I10,Hipertensão arterial,doxazosina,"RENAME 2024 (p. 45, 141) + Diretrizes Brasileiras de HAS 2020 (SBC/SBH/SBN)",validado,Fabiano Tonaco Borges,semaforo_i10_exaustiva_v2_2026-09,true
E11,Diabetes mellitus tipo 2,metformina,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,glibenclamida,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,gliclazida,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,dapagliflozina,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina NPH,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina humana NPH,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina humana regular,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina regular,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina análoga de ação rápida,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina asparte,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina lispro,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina glulisina,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina análoga de ação prolongada,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina glargina,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
E11,Diabetes mellitus tipo 2,insulina degludeca,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadros 15/18) + RENAME 2024",validado,Fabiano Tonaco Borges,semaforo_e11_exaustiva_v1_2026-08,true
J45,Asma,salbutamol,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
J45,Asma,beclometasona,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
J45,Asma,budesonida,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
J45,Asma,fenoterol,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
J45,Asma,prednisona,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
J45,Asma,prednisolona,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,semaforo_j45_exaustiva_v1_2026-08,true
