principio_ativo,nome_normalizado,forma_farmaceutica,unidade_dispensavel,concentracao_texto,via_administracao,aliases,fonte,versao_base
abatacepte,abatacepte 250 mg pó liofilizado para solução injetável,pó liofilizado para solução injetável,pó,250 mg,parenteral,ORENCIA,ANVISA/CMED 2026-06,2026-06
abatacepte,abatacepte 125 mg/ml solução injetável,solução injetável,solução,125 mg/ml,subcutânea,ORENCIA,ANVISA/CMED 2026-06,2026-06
abemaciclibe,abemaciclibe 100 mg comprimido revestido,comprimido revestido,comprimido,100 mg,oral,VERZENIOS,ANVISA/CMED 2026-06,2026-06
abemaciclibe,abemaciclibe 150 mg comprimido revestido,comprimido revestido,comprimido,150 mg,oral,VERZENIOS,ANVISA/CMED 2026-06,2026-06
abemaciclibe,abemaciclibe 200 mg comprimido revestido,comprimido revestido,comprimido,200 mg,oral,VERZENIOS,ANVISA/CMED 2026-06,2026-06
abemaciclibe,abemaciclibe 50 mg comprimido revestido,comprimido revestido,comprimido,50 mg,oral,VERZENIOS,ANVISA/CMED 2026-06,2026-06
abrocitinibe,abrocitinibe 100 mg comprimido revestido,comprimido revestido,comprimido,100 mg,oral,CIBINQO,ANVISA/CMED 2026-06,2026-06
abrocitinibe,abrocitinibe 200 mg comprimido revestido,comprimido revestido,comprimido,200 mg,oral,CIBINQO,ANVISA/CMED 2026-06,2026-06
abrocitinibe,abrocitinibe 50 mg comprimido revestido,comprimido revestido,comprimido,50 mg,oral,CIBINQO,ANVISA/CMED 2026-06,2026-06
acarbose,acarbose 100 mg comprimido,comprimido,comprimido,100 mg,oral,AGLUCOSE,ANVISA/CMED 2026-06,2026-06
acarbose,acarbose 50 mg comprimido,comprimido,comprimido,50 mg,oral,AGLUCOSE,ANVISA/CMED 2026-06,2026-06
acebrofilina,acebrofilina 5 mg/ml gel oral,gel oral,gel,5 mg/ml,oral,FILINAR G,ANVISA/CMED 2026-06,2026-06
acebrofilina,acebrofilina 10 mg / ml xarope,xarope,xarope,10 mg / ml,oral,LISOMUC,ANVISA/CMED 2026-06,2026-06
acebrofilina,acebrofilina 10 mg/ml xarope,xarope,xarope,10 mg/ml,oral,ACEBROFILINA|BRONCOMUCOL|BRONDILAT|BRONTEK|FILINAR|MELYSSE|RESPIRAN,ANVISA/CMED 2026-06,2026-06
acebrofilina,acebrofilina 5 mg / ml xarope,xarope,xarope,5 mg / ml,oral,LISOMUC,ANVISA/CMED 2026-06,2026-06
