principio_ativo,posologia_usual,condicao_nome,codigo_cid,fonte,status_curadoria,validado_por,versao,observacao
hidroclorotiazida,"Tomar 1 comprimido de 25 mg, por via oral, 1 vez ao dia, pela manhã.",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,Diurético tiazídico de 1ª linha. Ajustar conforme função renal e potássio.
clortalidona,"Tomar 1 comprimido de 25 mg, por via oral, 1 vez ao dia, pela manhã.",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,"Diurético tiazídico-símile; meia-vida longa. Faixa usual 12,5–25 mg/dia."
losartana,"Tomar 1 comprimido de 50 mg, por via oral, 1 vez ao dia (pode aumentar até 100 mg/dia).",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,BRA de 1ª linha. Faixa usual 50–100 mg/dia.
enalapril,"Tomar 1 comprimido de 10 mg, por via oral, 2 vezes ao dia.",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,IECA de 1ª linha. Faixa usual 10–40 mg/dia (1–2 tomadas). Monitorar tosse/potássio.
captopril,"Tomar 1 comprimido de 25 mg, por via oral, 2 a 3 vezes ao dia.",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,IECA de curta duração; geralmente 2–3 tomadas/dia.
anlodipino,"Tomar 1 comprimido de 5 mg, por via oral, 1 vez ao dia (pode aumentar até 10 mg/dia).",Hipertensão arterial,I10,RENAME 2024 + Diretrizes Brasileiras de HAS 2020,validado,Fabiano Tonaco Borges,posologia_has_v1_2026-06,Bloqueador de canal de cálcio di-hidropiridínico de 1ª linha. Atenção a edema.
metformina,"Tomar 1 comprimido de 500 mg ou 850 mg, por via oral, 2 a 3 vezes ao dia, junto às refeições. Não exceder 2.550 mg/dia.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,1ª linha. XR 500 mg disponível via Farmácia Popular (p. 38).
glibenclamida,"Tomar 1 comprimido de 5 mg, por via oral, 1 a 2 vezes ao dia. Não exceder 20 mg/dia.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,Não recomendada em ≥60 anos; contraindicada se TFG<30 (p. 40).
gliclazida,"Tomar 1 comprimido de 30 mg ou 60 mg, por via oral, 1 vez ao dia. Não exceder 120 mg/dia.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,Sulfonilureia; mesmas contraindicações de classe (p. 40).
dapagliflozina,"Tomar 1 comprimido de 10 mg, por via oral, 1 vez ao dia.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,Contraindicada se TFG estimada <25 mL/min persistente; gravidez/lactação (p. 40).
insulina NPH,"Iniciar 0,1 a 0,2 U/kg/dia por via subcutânea (obesidade/resistência: 0,5–0,75), à noite antes da ceia; titular 2 U a cada 3 dias pela glicemia de jejum.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,"Máx. 0,5 U/kg/dia (0,75 se obesidade/RI). Notas a/b/c do Quadro 15."
insulina humana regular,"Iniciar 3 a 4 U por via subcutânea antes das refeições principais, titulando pela glicemia pós-prandial.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,Não exceder >50% da dose total diária de insulina (DTDI).
insulina análoga de ação rápida,"Iniciar 3 a 4 U por via subcutânea antes das refeições principais, titulando pela glicemia pós-prandial.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,Mesmo esquema da regular (Quadro 15); AIAR substituíveis 1U:1U (p. 38).
insulina análoga de ação prolongada,"Iniciar 0,1 a 0,2 U/kg/dia por via subcutânea, 1 vez ao dia; titular 2 U a cada 3 dias pela glicemia de jejum.",Diabetes mellito tipo 2,E11,"PCDT DM2 2026 (Port. SCTIE/MS 13/2026, Quadro 15, p. 39)",validado,Fabiano Tonaco Borges,posologia_dm2_v1_2026-08,"Máx. 0,5 U/kg/dia (0,75 se obesidade/RI). AIAP: glargina/degludeca (p. 38)."
beclometasona,"Inalatório, 1 a 2 aplicações/dia conforme apresentação; dose diária por faixa (baixa/média/alta) no Quadro 10.",Asma,J45,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,posologia_j45_v1_2026-08,≥12 anos: 200–500 mcg/dia (dose baixa); crianças 6–11 anos: 100–200 mcg/dia. Ver apresentação pMDI/DPI.
budesonida,"Inalatório, 1 a 2 aplicações/dia; dose diária por faixa no Quadro 10.",Asma,J45,"PCDT Asma 2026 (Port. Conjunta SAES/SCTIE 43/2026, §7.4.1, p. 37-41)",validado,Fabiano Tonaco Borges,posologia_j45_v1_2026-08,≥12 anos: 200–400 mcg/dia (dose baixa); crianças 6–11 anos: 100–200 mcg/dia.
