codigo_sigtap,nome,grupo,subgrupo,forma_organizacao,competencia
0201010011,AMNIOCENTESE,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010020,BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010038,BIOPSIA CIRURGICA DE TIREOIDE,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010046,BIOPSIA DE ANUS E CANAL ANAL,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010054,BIOPSIA DE BACO POR PUNCAO / ASPIRACAO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010062,BIOPSIA DE BEXIGA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010070,BIOPSIA DE BOLSA ESCROTAL,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010089,BIOPSIA DE CONDUTO AUDITIVO EXTERNO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010097,BIOPSIA DE CONJUNTIVA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010100,BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010119,BIOPSIA DE CORNEA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010127,BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010135,BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010143,BIOPSIA DE ENDOCARDIO / MIOCARDIO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010151,BIOPSIA DE ENDOMETRIO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010178,BIOPSIA DE EPIDIDIMO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010186,BIOPSIA DE ESCLERA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010194,BIOPSIA DE FARINGE/LARINGE,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010208,BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010216,BIOPSIA DE FIGADO POR PUNCAO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010224,BIOPSIA DE GANGLIO LINFATICO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010232,BIÓPSIA DE GLÂNDULA SALIVAR,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010240,"BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR",Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010259,BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010267,BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010275,BIOPSIA DE MEDULA OSSEA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010283,BIOPSIA DE MUSCULO (A CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010291,BIOPSIA DE NERVO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010305,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010313,BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010321,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010330,BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010348,BIÓPSIA DE OSSO DO CRÂNIO E DA FACE,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010356,BIOPSIA DE PALPEBRA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010364,BIOPSIA DE PAVILHAO AURICULAR,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010372,BIOPSIA DE PELE E PARTES MOLES,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010380,BIOPSIA DE PENIS,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010399,BIOPSIA DE PIRAMIDE NASAL,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010402,BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA),Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010410,BIÓPSIA DE PRÓSTATA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010429,BIOPSIA DE PULMAO POR ASPIRACAO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010437,BIOPSIA DE RIM POR PUNCAO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010445,BIOPSIA DE SEIO PARANASAL,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010453,BIOPSIA DE SINÓVIA,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010461,BIOPSIA DE TESTICULO,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010470,BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
0201010488,BIOPSIA DE URETER,Procedimentos com finalidade diagnóstica,Coleta de material,Coleta de material por meio de punção/biópsia,202606
